"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4758463","162576937","91514564","13955825515"
"Kategorie | Zpravodajství | seznamzpravy.cz","4691200","136240312","83201431","11103545329"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3602064","80370712","19510909","1907710983"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3543548","127112341","33218475","7586024714"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3367790","81439057","21520494","3431916256"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2442837","72378254","11819814","1796021093"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1951376","19125345","9059208","1006740856"
"Kategorie | Zpravodajství | reflex.cz","1855192","16179966","5247655","558230562"
"Kategorie | Zpravodajství | echo24.cz","1714865","9015623","5975779","435298724"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1459361","8938291","5113047","600751309"
"Kategorie | Zpravodajství | irozhlas.cz","1428680","9362842","4865000","615742839"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1320212","20019630","7167982","1563190465"
"Kategorie | Zpravodajství | ceskenoviny.cz","1269278","4599171","3227390","177414831"
"Kategorie | Zpravodajství | forum24.cz","984765","9768823","4666742","786742503"
"Kategorie | Zpravodajství | drbna.cz","928852","4273310","2518659","133895002"
"Kategorie | Zpravodajství | parlamentnilisty.cz","926751","24145125","6080711","2503748466"
"Kategorie | Zpravodajství | info.cz","786929","3637841","2050090","192680796"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","767569","2744900","1911797","159795831"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","627937","2115143","1449086","95703380"
"Kategorie | Zpravodajství | tydenikpolicie.cz","602240","1954148","1322676","70964826"
"Kategorie | Zpravodajství | respekt.cz","490525","1674271","1102373","85238170"
"Kategorie | Zpravodajství | nasregion.cz","475366","2375205","922233","88260874"
"Kategorie | Zpravodajství | ekolist.cz","425622","947760","678748","38904434"
"Kategorie | Zpravodajství | prazskypatriot.cz","422973","741726","551813","21087473"
"Kategorie | Zpravodajství | hlidacipes.org","110288","255038","180467","13105898"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","80998","348292","208923","18012440"
"Kategorie | Zpravodajství | blisty.cz","65193","531086","225712","43633070"
"Kategorie | Zpravodajství | 5plus2.cz","5430","19834","7546","797927"
"Kategorie | Zpravodajství | pravo.cz","132","183","138","11575"
