"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5187713","208468713","115856314","20496804847"
"Kategorie | Zpravodajství | seznamzpravy.cz","5142465","192946795","115877497","18007606789"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3871987","139012055","43019738","10217746400"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3421608","110301013","24368751","4247330263"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3393115","55615132","16847305","1546630609"
"Kategorie | Zpravodajství | reflex.cz","2755092","31115959","9744821","965305404"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2338076","45325473","12184613","1991522389"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","2084380","22640081","11232428","1362206613"
"Kategorie | Zpravodajství | echo24.cz","1939502","10545693","7041712","516180480"
"Kategorie | Zpravodajství | ceskenoviny.cz","1934633","8174580","5766934","362070604"
"Kategorie | Zpravodajství | irozhlas.cz","1821321","13977978","7451925","1011779938"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1736712","14163783","7686212","1229299877"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1679866","22768369","9676075","1827031907"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","1657652","8672932","6075788","560219463"
"Kategorie | Zpravodajství | drbna.cz","1555510","6578407","4564376","225332056"
"Kategorie | Zpravodajství | forum24.cz","1445717","10480214","5606362","767082954"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","1205631","4283134","2905018","194102804"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1139243","26497802","7711561","2679325272"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","832346","2986663","2131385","180791620"
"Kategorie | Zpravodajství | tydenikpolicie.cz","616572","1787391","1263454","59840278"
"Kategorie | Zpravodajství | nasregion.cz","615043","2480612","1060048","74928135"
"Kategorie | Zpravodajství | respekt.cz","600595","2106681","1383394","104322734"
"Kategorie | Zpravodajství | ekolist.cz","488135","1207799","890155","59022487"
"Kategorie | Zpravodajství | info.cz","452983","1662455","999947","80557994"
"Kategorie | Zpravodajství | hlidacipes.org","444225","1046395","745422","53313131"
"Kategorie | Zpravodajství | prazskypatriot.cz","254692","428806","328278","12474933"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","87280","285497","207989","13796008"
"Kategorie | Zpravodajství | blisty.cz","77850","631399","258660","52360583"
"Kategorie | Zpravodajství | 5plus2.cz","2464","17822","6168","837179"
"Kategorie | Zpravodajství | pravo.cz","4","4","4","-"
