"Kategorie | Zpravodajství | seznamzpravy.cz","5391734","243552847","141814824","24325022581"
"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","5388693","240461356","135868491","23887922472"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","4057409","177009240","50163564","13089489073"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3674132","81196108","21948815","2178737040"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3632085","104640798","28583194","5065873675"
"Kategorie | Zpravodajství | reflex.cz","3071539","34725637","13003705","1400812502"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2660617","49841483","13373067","2134425179"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","2104178","24190529","12217973","1593191590"
"Kategorie | Zpravodajství | echo24.cz","2055126","12459913","8178227","640392595"
"Kategorie | Zpravodajství | irozhlas.cz","2054921","17704842","8743568","1332691118"
"Kategorie | Zpravodajství | drbna.cz","1954626","9260166","6707034","313937465"
"Kategorie | Zpravodajství | iprima.cz | CNN Prima NEWS","1948236","12156930","8750950","809497873"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1940819","15474264","8728808","1318532313"
"Kategorie | Zpravodajství | ceskenoviny.cz","1841757","8056481","5673738","373228920"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1698927","25072786","10398253","2012372338"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1547521","32073940","10083279","3127505768"
"Kategorie | Zpravodajství | forum24.cz","1379327","11217068","5505376","851552162"
"Kategorie | Zpravodajství | respekt.cz","1025717","3514768","2487462","159169912"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","996084","3570779","2566411","216789296"
"Kategorie | Zpravodajství | tydenikpolicie.cz","719893","2211987","1573745","76713318"
"Kategorie | Zpravodajství | nasregion.cz","662494","2740048","1264835","101865810"
"Kategorie | Zpravodajství | ekolist.cz","606211","1373346","1055447","54652349"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","579034","2023872","1383535","110518250"
"Kategorie | Zpravodajství | hlidacipes.org","535594","1410268","1017159","72834119"
"Kategorie | Zpravodajství | info.cz","450446","1601555","1031608","79590003"
"Kategorie | Zpravodajství | prazskypatriot.cz","395381","690440","570585","16628540"
"Kategorie | Zpravodajství | blisty.cz","118313","694734","308766","53818647"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","90658","281661","204555","13743958"
"Kategorie | Zpravodajství | 5plus2.cz","3853","20480","7125","958675"
"Kategorie | Zpravodajství | pravo.cz","30","38","33","2319"
"Kategorie | Zpravodajství | a2larm.cz","1","1","1","-"
