"Kategorie | Zpravodajství | novinky.cz | rubrika Zpravodajstvi","4791250","175307837","94733424","14644687014"
"Kategorie | Zpravodajství | seznamzpravy.cz","4780211","143193085","84159992","11618878842"
"Kategorie | Zpravodajství | idnes.cz | Zpravy","3700253","135857323","34924261","8082738763"
"Kategorie | Zpravodajství | denik.cz | Zpravodajství Deník","3508696","61163646","18067553","1671543507"
"Kategorie | Zpravodajství | aktualne.cz | Zpravy","3301588","80107599","21086081","3405543374"
"Kategorie | Zpravodajství | blesk.cz | Blesk.cz  - Zprávy","2500477","94769365","13276510","2173921664"
"Kategorie | Zpravodajství | reflex.cz","2229850","23315403","6186310","663576637"
"Kategorie | Zpravodajství | echo24.cz","2008335","11102415","7103167","525326250"
"Kategorie | Zpravodajství | nova.cz | TN.cz | Zpravodajství","1729814","16973107","8142630","935920152"
"Kategorie | Zpravodajství | drbna.cz","1690757","7965201","5230982","260409506"
"Kategorie | Zpravodajství | ceskatelevize.cz | CT 24","1553451","9645962","5467739","636888212"
"Kategorie | Zpravodajství | irozhlas.cz","1499320","9842096","5110120","649287180"
"Kategorie | Zpravodajství | lidovky.cz | Zpravodajství","1287854","19804660","7156029","1522652712"
"Kategorie | Zpravodajství | ceskenoviny.cz","1159226","3920425","2621087","150627469"
"Kategorie | Zpravodajství | parlamentnilisty.cz","1152535","24222723","6752658","2371443827"
"Kategorie | Zpravodajství | forum24.cz","1019876","8219341","4006013","590021610"
"Kategorie | Zpravodajství | ihned.cz | Zpravodajstvi","847097","2920759","2001778","164094376"
"Kategorie | Zpravodajství | tiscali.cz | Zpravodajství","820918","2532472","1695490","121323561"
"Kategorie | Zpravodajství | nasregion.cz","756414","3352670","1499633","129533732"
"Kategorie | Zpravodajství | respekt.cz","621099","1838159","1248645","79795752"
"Kategorie | Zpravodajství | tydenikpolicie.cz","572913","1812318","1240600","60180333"
"Kategorie | Zpravodajství | info.cz","342807","1049451","731867","45607013"
"Kategorie | Zpravodajství | ekolist.cz","283774","592785","408799","23623119"
"Kategorie | Zpravodajství | prazskypatriot.cz","240021","374749","280393","11327488"
"Kategorie | Zpravodajství | hlidacipes.org","213880","533306","357916","25646575"
"Kategorie | Zpravodajství | tyden.cz | Tyden.cz | Tyden.cz - Zpravodajství","71045","288757","181959","13646679"
"Kategorie | Zpravodajství | blisty.cz","45963","524279","209123","39504630"
"Kategorie | Zpravodajství | 5plus2.cz","3822","22745","6669","871644"
"Kategorie | Zpravodajství | pravo.cz","35","43","35","189"
